date,close_afran,close_yaghoot,close_goldMofid,close_nahal,close_sahar,close_agas,close_sarv,close_atlas
2023-09-02,21990,19537,68069.0,18912.0,23791.0,125909.0,11653.52,40940.1
2023-09-03,22006,19550,69303.0,18967.0,23859.0,126183.0,11694.44,41074.6
2023-09-04,22022,19563,68813.0,19180.0,23738.0,128162.0,11832.67,41826.5
2023-09-05,22066,19602,68363.0,19068.0,23798.0,129928.0,11979.08,42146.0
2023-09-09,22087,19628,68749.0,19234.0,23819.0,127276.0,11816.3,41188.3
2023-09-10,22102,19641,68361.0,19108.0,23760.0,127040.0,11622.6,41207.0
2023-09-11,22117,19654,68309.0,19109.0,23910.0,127415.0,11655.34,41391.6
2023-09-12,22133,19666,67857.0,19088.0,23912.0,128445.0,11803.57,41624.7
2023-09-13,22183,19706,68394.0,19106.0,23950.0,128992.0,11809.02,41566.0
2023-09-17,22207,19732,68162.0,19149.0,23999.0,129777.0,11864.5,41736.0
2023-09-18,22222,19745,67513.0,19429.0,24465.0,129156.0,11889.96,41654.2
2023-09-19,22237,19758,67515.0,19248.0,24561.0,128510.0,11825.39,41493.3
2023-09-20,22274,19784,67059.0,19011.0,24563.0,127782.0,11916.33,41274.7
2023-09-23,22306,19811,66649.0,18935.0,24821.0,127710.0,11797.2,41222.9
2023-09-25,22328,19837,66236.0,18912.0,24994.0,126060.0,11668.07,40884.1
2023-09-26,22344,19850,66049.0,18921.0,24813.0,125881.0,11683.53,40764.0
2023-09-27,22381,19877,65749.0,18876.0,24835.0,125933.0,11619.88,40822.1
2023-09-30,22403,19903,65111.0,18890.0,24697.0,125294.0,11603.51,40664.1
2023-10-01,22419,19916,65481.0,19057.0,24811.0,123899.0,11484.38,40073.4
2023-10-02,22446,19930,65576.0,19155.0,24844.0,124428.0,11533.49,40265.1
2023-10-04,22487,19969,65333.0,19476.0,25291.0,124954.0,11543.49,40472.3
2023-10-07,22509,19996,67074.0,19896.0,25902.0,123431.0,11448.01,40425.3
2023-10-08,22524,20009,72093.0,19790.0,25935.0,119480.0,11052.43,39127.9
2023-10-09,22539,20023,73527.0,20008.0,26269.0,121133.0,11048.79,39203.5
2023-10-10,22554,20036,70298.0,19726.0,26226.0,122019.0,11190.66,39579.7
2023-10-11,22592,20063,70143.0,19561.0,25994.0,122840.0,11177.01,39955.5
2023-10-14,22614,20089,71196.0,19164.0,25708.0,120825.0,11059.71,39265.3
2023-10-15,22629,20103,70444.0,18954.0,25088.0,121069.0,11009.69,39443.1
2023-10-16,22644,20116,69175.0,18766.0,24769.0,123078.0,11188.84,39948.2
2023-10-17,22659,20128,69747.0,18912.0,24977.0,123414.0,11261.59,40009.5
2023-10-18,22697,20155,71227.0,18778.0,25027.0,121916.0,11087.9,39508.6
2023-10-21,22719,20182,70440.0,18758.0,24967.0,123054.0,11147.92,39850.9
2023-10-22,22734,20195,70832.0,18600.0,25077.0,123831.0,11239.76,40077.3
2023-10-23,22749,20209,70840.0,18344.0,24813.0,122423.0,11119.72,39717.7
2023-10-24,22764,20222,70869.0,17957.0,24458.0,121114.0,11082.44,39604.9
2023-10-25,22802,20249,71324.0,18073.0,24486.0,121389.0,11032.43,39428.4
2023-10-28,22824,20277,74334.0,19053.0,24844.0,117391.0,10675.95,38363.71
2023-10-29,22840,20291,72554.0,19752.0,24968.0,119331.0,10754.16,38722.2
2023-10-30,22855,20303,71890.0,19621.0,24971.0,121288.0,10921.48,39187.7
2023-10-31,22871,20318,72482.0,20031.0,25058.0,121055.0,10890.56,39174.0
2023-11-01,22909,20344,72670.0,21363.0,25934.0,119731.0,10785.99,38989.5
