config,population,generations,init_mut,high_mut,base_seed,window_index,best_fitness,generations_run,runtime_s
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,27,0.8469359242756614,30,2.3805326250000007
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,28,0.8321191755075678,30,2.200200332999998
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,29,0.8575582791834676,28,2.1490992920000167
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,30,0.817463179715898,30,2.060111499999948
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,31,0.8067314293264869,30,2.178013165999971
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,32,0.8,18,1.8385170000000244
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,33,0.8226206850767058,28,1.9921724170000061
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,34,0.8178782549184906,22,1.8378258340000002
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,2,35,0.8429511972195599,30,2.2687985000000026
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,0,0.9,18,1.7177614169999629
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,1,0.9,18,1.875835875000007
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,2,0.8088464168158567,50,2.569212666999988
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,3,0.8267899420326363,43,2.2425467080000203
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,4,0.8183036705630314,34,1.8897730420000016
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,5,0.8002021374234707,18,1.6873938329999874
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,6,0.8199775825248189,32,1.9932002500000294
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,7,0.8161299701190411,22,1.809889333000001
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,8,0.8107997035215051,23,1.8661277080000218
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,9,0.9,18,1.660326915999974
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,10,0.9,18,1.6500937499999964
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,11,0.8449229335768453,50,2.4622130829999946
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,12,0.8697708796702996,50,2.5150266660000398
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,13,0.8138279833396751,39,1.8510946659999945
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,14,0.8298818886181082,50,2.411058333000028
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,15,0.8280604211664686,27,1.8345616659999564
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,16,0.9,18,1.6553984170000149
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,17,0.9,19,1.7406513750000272
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,18,0.8427970429301158,24,1.8295512500000086
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,19,0.8581517804297086,50,2.3936072500000023
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,20,0.8007304105811534,27,1.9607177500000148
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,21,0.8003115281056927,22,1.7964787500000057
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,22,0.8034103731287807,50,2.365696875000026
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,23,0.8439343467174772,50,2.246534791999977
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,24,0.8474297996062773,30,1.920742209000025
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,25,0.8560137353843281,50,2.4087453750000236
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,26,0.9,18,1.7266755829999738
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,27,0.8351600426519882,50,2.698090417000003
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,28,0.8262782911977038,30,2.0318142909999892
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,29,0.8535333283053543,50,2.358866791999958
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,30,0.8180359169392696,50,2.2134293340000113
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,31,0.806705692526307,30,2.030678500000022
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,32,0.8,18,1.7127461669999775
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,33,0.8206341915038833,43,1.8269019169999865
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,34,0.8178478928269555,42,2.2317077080000445
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,0,35,0.8428769225640733,26,1.912492874999998
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,0,0.9,18,1.6974115419999976
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,1,0.9,20,1.7514383750000206
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,2,0.8112612665222005,40,2.1226422500000126
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,3,0.8250206978965243,50,2.477122750000035
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,4,0.8177998843175285,47,2.3296772919999853
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,5,0.8012372237983443,32,2.0605274590000136
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,6,0.8220907917979454,18,1.8041041670000482
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,7,0.8154325705731006,25,1.8861093750000464
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,8,0.8106804864416797,21,1.78838466600007
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,9,0.9,18,1.6345424580000554
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,10,0.9,18,1.6702934580000601
"pop=100,gen=50,mut=0.01",100,50,0.01,0.1,1,11,0.8460248642459719,50,2.616464833000009
